2018-06-154 23:06:758 INFO  MainDriver:41 - In main(): 

2018-06-154 23:06:774 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-154 23:06:92 INFO  MainDriver:79 - topMenuScan == 2
2018-06-154 23:06:92 INFO  MainDriver:142 - Inside topMenuScan == 2
2018-06-154 23:06:92 INFO  MainDriver:146 - Inside topMenuControl2
2018-06-154 23:06:956 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6f195bc3
2018-06-154 23:06:231 INFO  MainDriver:56 - In SetAccount(): 
2018-06-154 23:06:29 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-154 23:06:845 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-154 23:06:955 INFO  MainDriver:79 - topMenuScan == 0
2018-06-154 23:06:955 INFO  MainDriver:83 - Inside topMenuScan == 0
2018-06-154 23:06:955 INFO  MainDriver:352 - Outside the TOP MENU
2018-06-154 23:06:970 INFO  MainDriver:366 - Closing Connection conn
