2018-06-155 10:06:714 INFO  MainDriver:41 - In main(): 

2018-06-155 10:06:718 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 10:06:349 INFO  MainDriver:79 - topMenuScan == 2
2018-06-155 10:06:349 INFO  MainDriver:139 - Inside topMenuScan == 2
2018-06-155 10:06:350 INFO  MainDriver:143 - Inside topMenuControl2
2018-06-155 10:06:309 INFO  MainDriver:155 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6f195bc3
2018-06-155 10:06:445 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 10:06:941 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 10:06:134 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 10:06:742 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 10:06:244 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 10:06:686 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 10:06:261 INFO  MainDriver:142 - In Deposit(): 
2018-06-155 10:06:663 INFO  MainDriver:153 - oracle.jdbc.driver.OraclePreparedStatementWrapper@71248c21
2018-06-155 10:06:708 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 10:06:195 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 10:06:51 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 10:06:651 INFO  MainDriver:79 - topMenuScan == 0
2018-06-155 10:06:652 INFO  MainDriver:83 - Inside topMenuScan == 0
2018-06-155 10:06:652 INFO  MainDriver:515 - Outside the TOP MENU
2018-06-155 10:06:652 INFO  MainDriver:529 - Closing Connection conn
