2018-06-156 22:06:36 INFO  MainDriver:36 - In main(): 

2018-06-156 22:06:52 INFO  MainDriver:57 - Inside TOP Menu while loop
2018-06-156 22:06:599 INFO  MainDriver:68 - topMenuScan == 1
2018-06-156 22:06:599 INFO  MainDriver:78 - Inside topMenuScan == 1
2018-06-156 22:06:599 INFO  MainDriver:81 - Inside topMenuControl1
2018-06-156 22:06:851 INFO  MainDriver:98 - oracle.jdbc.driver.OraclePreparedStatementWrapper@cb51256
2018-06-156 22:06:51 INFO  MainDriver:177 - In CreateUsers(): 
2018-06-156 22:06:21 INFO  MainDriver:216 - oracle.jdbc.driver.OraclePreparedStatementWrapper@dd3b207
2018-06-156 22:06:131 INFO  MainDriver:57 - Inside TOP Menu while loop
2018-06-156 22:06:236 INFO  MainDriver:68 - topMenuScan == 2
2018-06-156 22:06:236 INFO  MainDriver:127 - Inside topMenuScan == 2
2018-06-156 22:06:236 INFO  MainDriver:131 - Inside topMenuControl2
2018-06-156 22:06:459 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@58fdd99
2018-06-156 22:06:506 INFO  MainDriver:131 - Inside topMenuControl2
2018-06-156 22:06:927 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@7bc1a03d
2018-06-156 22:06:990 INFO  MainDriver:131 - Inside topMenuControl2
2018-06-156 22:06:924 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@3d36e4cd
2018-06-156 22:06:971 INFO  MainDriver:131 - Inside topMenuControl2
2018-06-156 22:06:05 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@7ff2a664
2018-06-156 22:06:567 INFO  MainDriver:56 - In SetAccount(): 
2018-06-156 22:06:584 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-156 22:06:439 INFO  MainDriver:98 - oracle.jdbc.driver.OraclePreparedStatementWrapper@429bd883
2018-06-156 22:06:552 INFO  MainDriver:177 - In CreateUsers(): 
2018-06-156 22:06:570 INFO  MainDriver:216 - oracle.jdbc.driver.OraclePreparedStatementWrapper@58134517
2018-06-156 22:06:121 INFO  MainDriver:56 - In SetAccount(): 
2018-06-156 22:06:849 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-156 22:06:370 INFO  MainDriver:56 - In SetAccount(): 
2018-06-156 22:06:99 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-156 22:06:771 INFO  MainDriver:56 - In SetAccount(): 
2018-06-156 22:06:338 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-156 22:06:55 INFO  MainDriver:98 - oracle.jdbc.driver.OraclePreparedStatementWrapper@3b2c72c2
