2018-06-155 00:06:976 INFO  MainDriver:41 - In main(): 

2018-06-155 00:06:991 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 00:06:278 INFO  MainDriver:79 - topMenuScan == 2
2018-06-155 00:06:278 INFO  MainDriver:142 - Inside topMenuScan == 2
2018-06-155 00:06:278 INFO  MainDriver:146 - Inside topMenuControl2
2018-06-155 00:06:848 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6f195bc3
2018-06-155 00:06:604 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 00:06:573 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 00:06:519 INFO  MainDriver:20 - In CreateAccount()
2018-06-155 00:06:858 INFO  MainDriver:20 - In CreateAccount()
2018-06-155 00:06:124 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 00:06:755 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 00:06:462 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 00:06:349 INFO  MainDriver:108 - In DeleteAccount(): 
2018-06-155 00:06:181 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 00:06:751 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 00:06:681 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 00:06:430 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 00:06:152 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 00:06:581 INFO  MainDriver:79 - topMenuScan == 0
2018-06-155 00:06:581 INFO  MainDriver:83 - Inside topMenuScan == 0
2018-06-155 00:06:581 INFO  MainDriver:404 - Outside the TOP MENU
2018-06-155 00:06:594 INFO  MainDriver:418 - Closing Connection conn
