2018-06-155 13:06:932 INFO  MainDriver:41 - In main(): 

2018-06-155 13:06:935 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 13:06:656 INFO  MainDriver:79 - topMenuScan == 2
2018-06-155 13:06:656 INFO  MainDriver:139 - Inside topMenuScan == 2
2018-06-155 13:06:657 INFO  MainDriver:143 - Inside topMenuControl2
2018-06-155 13:06:466 INFO  MainDriver:155 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6f195bc3
2018-06-155 13:06:497 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 13:06:987 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 13:06:792 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 13:06:926 INFO  MainDriver:79 - topMenuScan == 0
2018-06-155 13:06:927 INFO  MainDriver:83 - Inside topMenuScan == 0
2018-06-155 13:06:927 INFO  MainDriver:546 - Outside the TOP MENU
2018-06-155 13:06:927 INFO  MainDriver:560 - Closing Connection conn
