2018-06-155 13:06:304 INFO  MainDriver:37 - In main(): 

2018-06-155 13:06:307 INFO  MainDriver:58 - Inside TOP Menu while loop
2018-06-155 13:06:211 INFO  MainDriver:65 - topMenuScan == 2
2018-06-155 13:06:211 INFO  MainDriver:124 - Inside topMenuScan == 2
2018-06-155 13:06:212 INFO  MainDriver:128 - Inside topMenuControl2
2018-06-155 13:06:832 INFO  MainDriver:147 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6f195bc3
2018-06-155 13:06:339 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 13:06:831 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 13:06:366 INFO  MainDriver:58 - Inside TOP Menu while loop
2018-06-155 13:06:365 INFO  MainDriver:65 - topMenuScan == 2
2018-06-155 13:06:366 INFO  MainDriver:124 - Inside topMenuScan == 2
2018-06-155 13:06:366 INFO  MainDriver:128 - Inside topMenuControl2
2018-06-155 13:06:885 INFO  MainDriver:147 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6b67034
2018-06-155 13:06:214 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 13:06:728 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 13:06:906 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 13:06:443 INFO  MainDriver:142 - In Deposit(): 
2018-06-155 13:06:844 INFO  MainDriver:153 - oracle.jdbc.driver.OraclePreparedStatementWrapper@641147d0
2018-06-155 13:06:914 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 13:06:434 INFO  MainDriver:96 - In ViewAccount(): 
2018-06-155 13:06:247 INFO  MainDriver:58 - Inside TOP Menu while loop
2018-06-155 13:06:209 INFO  MainDriver:65 - topMenuScan == 0
2018-06-155 13:06:210 INFO  MainDriver:69 - Inside topMenuScan == 0
2018-06-155 13:06:210 INFO  MainDriver:516 - Outside the TOP MENU
2018-06-155 13:06:210 INFO  MainDriver:520 - Closing Connection conn
