2018-06-155 01:06:189 INFO  MainDriver:41 - In main(): 

2018-06-155 01:06:205 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 01:06:693 INFO  MainDriver:79 - topMenuScan == 2
2018-06-155 01:06:709 INFO  MainDriver:139 - Inside topMenuScan == 2
2018-06-155 01:06:709 INFO  MainDriver:143 - Inside topMenuControl2
2018-06-155 01:06:760 INFO  MainDriver:148 - oracle.jdbc.driver.OraclePreparedStatementWrapper@6f195bc3
2018-06-155 01:06:502 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:34 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 01:06:238 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:808 INFO  MainDriver:136 - In Deposit(): 
2018-06-155 01:06:808 INFO  MainDriver:147 - oracle.jdbc.driver.OraclePreparedStatementWrapper@16267862
2018-06-155 01:06:855 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:432 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 01:06:279 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:885 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 01:06:473 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:66 INFO  MainDriver:167 - In Withdraw(): 
2018-06-155 01:06:534 INFO  MainDriver:178 - oracle.jdbc.driver.OraclePreparedStatementWrapper@641147d0
2018-06-155 01:06:644 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:535 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 01:06:362 INFO  MainDriver:56 - In SetAccount(): 
2018-06-155 01:06:873 INFO  MainDriver:94 - In ViewAccount(): 
2018-06-155 01:06:847 INFO  MainDriver:72 - Inside TOP Menu while loop
2018-06-155 01:06:61 INFO  MainDriver:79 - topMenuScan == 0
2018-06-155 01:06:61 INFO  MainDriver:83 - Inside topMenuScan == 0
2018-06-155 01:06:61 INFO  MainDriver:487 - Outside the TOP MENU
2018-06-155 01:06:71 INFO  MainDriver:501 - Closing Connection conn
